"Person_ID","Crash_Date","Crash_Location","Victim","Crash_Circumstances","Longitude","Latitude","Location"
"O2059329","05/10/2025 01:13:00 AM","1117 S INDEPENDENCE BLVD","DRIVER","DRIVER LOST CONTROL AND STRUCK A POLE AT A HIGH RATE OF SPEED.","-87.71941453","41.86747296","POINT (-87.71941453 41.86747296)"
"P453113","04/29/2025 04:56:00 PM","2900 S LAKE SHORE DR SB","PASSENGER","DRIVER LOST CONTROL AND STRUCK A TREE.","-87.61030162","41.84207474","POINT (-87.61030162 41.84207474)"
"P452768","04/27/2025 03:57:00 PM","4800 W LEXINGTON ST","PASSENGER","UNIT 2 DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 1. UNIT 2 PASSENGER DIED.","-87.74500147","41.87128905","POINT (-87.74500147 41.87128905)"
"O2053056","04/27/2025 01:44:00 AM","6900 S ASHLAND AVE","PEDESTRIAN","RIGHT-TURNING DRIVER STRUCK PEDESTRIAN IN CROSSWALK AT A HIGH RATE OF SPEED.","-87.66403843","41.76845491","POINT (-87.66403843 41.76845491)"
"O2048153","04/23/2025 09:42:00 PM","11010 S HALSTED ST","DRIVER","UNIT 1 REAR-ENDED UNIT 2. UNIT 2 DRIVER DIED.","-87.64257026","41.69380117","POINT (-87.64257026 41.69380117)"
"O2048191","04/23/2025 12:48:00 PM","6174 N NAGLE AVE","PEDESTRIAN","LEFT-TURNING EMERGENCY VEHICLE STRUCK PEDESTRIAN IN CROSSWALK.","-87.78768469","41.9934493","POINT (-87.78768469 41.9934493)"
"O2047742","04/23/2025 06:12:00 AM","7500 S YATES BLVD","DRIVER","UNIT 1 DISREGARDED TRAFFIC SIGNAL, STRIKING UNIT 2 AND A PEDESTRIAN AT BUS STOP. UNIT 1 DRIVER DIED.","-87.56651784","41.75889467","POINT (-87.56651784 41.75889467)"
"O2045922","04/20/2025 02:07:00 AM","1000 N CENTRAL AVE","DRIVER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2. UNIT 1 DRIVER AND UNIT 2 DRIVER DIED.","-87.76567318","41.89854013","POINT (-87.76567318 41.89854013)"
"O2045923","04/20/2025 02:07:00 AM","1000 N CENTRAL AVE","DRIVER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2. UNIT 1 DRIVER AND UNIT 2 DRIVER DIED.","-87.76567318","41.89854013","POINT (-87.76567318 41.89854013)"
"O2045865","04/20/2025 12:15:00 AM","11139 S HALSTED ST","DRIVER","RECKLESS DRIVER LOST CONTROL, HIT THE MEDIAN, AND STRUCK A TREE AT A HIGH RATE OF SPEED.","-87.64220093","41.69119457","POINT (-87.64220093 41.69119457)"
"P451514","04/19/2025 02:42:00 AM","108 E SUPERIOR ST","PASSENGER","RECKLESS DRIVER LOST CONTROL AND STRUCK A BUILDING AT A HIGH RATE OF SPEED.","-87.62498814","41.89583964","POINT (-87.62498814 41.89583964)"
"O2037343","04/07/2025 05:00:00 AM","398 E ROOSEVELT DR","PEDESTRIAN","UNIT 1 STRUCK PEDESTRIAN IN ROADWAY.","-87.61880824","41.86759001","POINT (-87.61880824 41.86759001)"
"O2030518","03/27/2025 06:38:00 AM","5500 S PULASKI RD","MOTORCYCLIST","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK LEFT-TURNING UNIT 2 AT A HIGH RATE OF SPEED. UNIT 1 DRIVER DIED.","-87.72330376","41.79315506","POINT (-87.72330376 41.79315506)"
"P448216","03/27/2025 03:25:00 AM","5606 W 55TH ST","PASSENGER","UNIT 1 MADE U-TURN AND WAS STRUCK BY UNIT 2 TRAVELING AT A HIGH RATE OF SPEED. UNIT 1 DRIVER AND PASSENGER DIED.","-87.76264445","41.79283953","POINT (-87.76264445 41.79283953)"
"O2030491","03/27/2025 03:25:00 AM","5606 W 55TH ST","DRIVER","UNIT 1 MADE U-TURN AND WAS STRUCK BY UNIT 2 TRAVELING AT A HIGH RATE OF SPEED. UNIT 1 DRIVER AND PASSENGER DIED.","-87.76264445","41.79283953","POINT (-87.76264445 41.79283953)"
